pertubation,secondary_extinction
0.425497,0.115044
0.430464,0.123894
0.43543,0.123894
0.440397,0.141593
0.445364,0.123894
0.450331,0.150442
0.455298,0.123894
0.460265,0.132743
0.465232,0.123894
0.470199,0.123894
0.475166,0.106195
0.480132,0.123894
0.485099,0.132743
0.490066,0.106195
0.495033,0.168142
0.5,0.141593
0.504967,0.132743
0.509934,0.973451
0.514901,0.99115
0.519868,0.867257
0.524834,0.911504
0.529801,0.964602
0.534768,0.973451
0.539735,1.0
0.544702,0.929204
0.549669,0.99115
0.554636,0.964602
0.559603,1.0
0.56457,0.964602
0.569536,0.99115
0.574503,0.911504
0.57947,0.99115
0.584437,1.0
0.589404,1.0
0.594371,0.973451
0.599338,0.99115
0.604305,0.955752
0.609272,0.973451
0.614238,0.99115
0.619205,0.964602
0.624172,0.982301
0.629139,0.982301
0.634106,0.964602
0.639073,0.99115
0.64404,0.955752
0.649007,0.99115
0.653974,0.920354
0.65894,1.0
0.663907,0.982301
0.668874,1.0
0.673841,1.0
0.678808,1.0
0.683775,1.0
0.688742,0.99115
0.693709,0.99115
0.698675,0.99115
0.703642,1.0
0.708609,0.99115
0.713576,0.99115
0.718543,1.0
0.72351,0.938053
0.728477,1.0
0.733444,0.99115
0.738411,0.99115
0.743377,1.0
0.748344,0.99115
0.753311,0.973451
0.758278,1.0
0.761589,1.0
0.764901,0.955752
0.768212,1.0
0.771523,1.0
0.774834,0.982301
0.778146,1.0
0.781457,1.0
0.784768,1.0
0.788079,1.0
0.791391,0.982301
0.794702,1.0
0.798013,1.0
0.801325,1.0
0.804636,1.0
0.807947,1.0
0.811258,1.0
0.81457,1.0
0.817881,0.99115
0.821192,0.99115
0.824503,1.0
0.827815,0.99115
0.831126,0.982301
0.834437,1.0
0.837748,0.99115
0.84106,1.0
0.844371,1.0
0.847682,1.0
0.850993,1.0
0.854305,0.99115
0.857616,0.99115
0.860927,0.99115
0.864238,1.0
0.86755,1.0
0.870861,1.0
0.874172,1.0
0.877483,0.99115
0.880795,1.0
0.884106,1.0
0.887417,1.0
0.889073,1.0
0.890728,1.0
0.892384,0.99115
0.89404,1.0
0.895695,1.0
0.897351,1.0
0.899007,0.99115
0.900662,1.0
0.902318,1.0
0.903974,1.0
0.905629,1.0
0.907285,1.0
0.90894,1.0
0.910596,1.0
0.912252,0.99115
0.913907,0.99115
0.915563,0.99115
0.917219,1.0
0.918874,1.0
0.92053,1.0
0.922185,1.0
0.923841,0.99115
0.925497,1.0
0.927152,1.0
0.928808,0.99115
0.930464,1.0
0.932119,1.0
0.933775,1.0
0.93543,1.0
0.937086,1.0
0.938742,1.0
0.940397,1.0
0.942053,1.0
0.943709,1.0
0.945364,0.99115
0.94702,1.0
0.948675,1.0
0.950331,1.0
0.951987,1.0
0.953642,1.0
0.955298,1.0
0.956954,1.0
0.958609,1.0
0.960265,0.99115
0.961921,1.0
0.963576,1.0
0.965232,1.0
0.966887,1.0
0.968543,1.0
0.970199,1.0
0.971854,1.0
0.97351,1.0
0.975166,1.0
0.976821,1.0
0.978477,1.0
0.980132,1.0
0.981788,1.0
0.983444,1.0
0.985099,1.0
0.986755,1.0
0.988411,1.0
0.990066,1.0
0.991722,1.0
0.993377,1.0
0.995033,1.0
0.996689,1.0
0.998344,1.0
1.0,1.0
0.00662252,0.0442478
0.013245,0.0442478
0.0198675,0.0353982
0.0264901,0.0442478
0.0331126,0.0442478
0.0397351,0.0442478
0.0463576,0.0442478
0.0529801,0.0442478
0.0596026,0.0442478
0.0662252,0.0442478
0.0728477,0.0265487
0.0794702,0.0442478
0.0860927,0.0442478
0.0927152,0.0442478
0.0993377,0.0353982
0.10596,0.0353982
0.112583,0.0442478
0.119205,0.0442478
0.125828,0.0442478
0.13245,0.0353982
0.139073,0.0442478
0.145695,0.0442478
0.152318,0.0353982
0.15894,0.0265487
0.165563,0.0442478
0.172185,0.0353982
0.177152,0.0353982
0.182119,0.0353982
0.187086,0.0353982
0.192053,0.0353982
0.19702,0.0442478
0.201987,0.0442478
0.206954,0.0353982
0.211921,0.0353982
0.216887,0.0353982
0.221854,0.0353982
0.226821,0.0353982
0.231788,0.0442478
0.236755,0.0530973
0.241722,0.0530973
0.246689,0.0353982
0.251656,0.0353982
0.256623,0.0442478
0.261589,0.0442478
0.266556,0.0353982
0.271523,0.0442478
0.27649,0.0353982
0.281457,0.0530973
0.286424,0.0265487
0.291391,0.0265487
0.296358,0.0530973
0.301325,0.0353982
0.306291,0.0530973
0.311258,0.0265487
0.316225,0.0530973
0.321192,0.0442478
0.326159,0.0265487
0.331126,0.0265487
0.336093,0.0442478
0.34106,0.0353982
0.346026,0.0353982
0.350993,0.0442478
0.35596,0.0442478
0.360927,0.0265487
0.365894,0.0353982
0.370861,0.0265487
0.375828,0.0265487
0.380795,0.0530973
0.385762,0.0353982
0.390728,0.079646
0.395695,0.0530973
0.400662,0.0353982
0.405629,0.0530973
0.410596,0.0442478
0.415563,0.0353982
0.42053,0.0530973
0.425497,0.0619469
0.430464,0.0530973
0.43543,0.0442478
0.440397,0.0619469
0.445364,0.0265487
0.450331,0.0265487
0.455298,0.0442478
0.460265,0.0265487
0.465232,0.0442478
0.470199,0.079646
0.475166,0.0442478
0.480132,0.0353982
0.485099,0.0265487
0.490066,0.0619469
0.495033,0.0442478
0.5,0.0619469
0.504967,0.115044
0.509934,0.0530973
0.514901,0.0884956
0.519868,0.0353982
0.524834,0.0530973
0.529801,0.123894
0.534768,0.0530973
0.539735,0.938053
0.544702,0.929204
0.549669,0.938053
0.554636,0.955752
0.559603,0.938053
0.56457,0.938053
0.569536,0.893805
0.574503,0.938053
0.57947,0.938053
0.584437,0.0353982
0.589404,0.938053
0.594371,0.946903
0.599338,0.938053
0.604305,0.946903
0.609272,0.938053
0.614238,0.0442478
0.619205,0.946903
0.624172,0.0265487
0.629139,0.938053
0.634106,0.929204
0.639073,0.946903
0.64404,0.0353982
0.649007,0.0619469
0.653974,0.946903
0.65894,0.946903
0.663907,0.0442478
0.668874,0.938053
0.673841,0.946903
0.678808,0.946903
0.683775,0.946903
0.688742,0.946903
0.693709,0.946903
0.698675,0.0530973
0.703642,0.964602
0.708609,0.938053
0.713576,0.946903
0.718543,0.946903
0.72351,0.946903
0.728477,0.946903
0.733444,0.946903
0.738411,0.946903
0.743377,0.0619469
0.748344,0.946903
0.753311,0.946903
0.758278,0.946903
0.761589,0.946903
0.764901,0.938053
0.768212,0.946903
0.771523,0.946903
0.774834,0.0707965
0.778146,0.946903
0.781457,0.946903
0.784768,0.946903
0.788079,0.946903
0.791391,0.946903
0.794702,0.946903
0.798013,0.929204
0.801325,0.946903
0.804636,0.938053
0.807947,0.946903
0.811258,0.946903
0.81457,0.946903
0.817881,0.946903
0.821192,0.946903
0.824503,0.938053
0.827815,0.964602
0.831126,0.946903
0.834437,0.946903
0.837748,0.946903
0.84106,0.946903
0.844371,0.946903
0.847682,0.938053
0.850993,0.938053
0.854305,0.938053
0.857616,0.946903
0.860927,0.946903
0.864238,0.938053
0.86755,0.946903
0.870861,0.938053
0.874172,0.946903
0.877483,0.946903
0.880795,0.946903
0.884106,0.946903
0.887417,0.938053
0.889073,0.946903
0.890728,0.946903
0.892384,0.946903
0.89404,0.946903
0.895695,0.946903
0.897351,0.946903
0.899007,0.946903
0.900662,0.946903
0.902318,0.938053
0.903974,0.946903
0.905629,0.946903
0.907285,0.946903
0.90894,0.946903
0.910596,0.946903
0.912252,0.946903
0.913907,0.946903
0.915563,0.964602
0.917219,0.946903
0.918874,0.946903
0.92053,0.946903
0.922185,0.946903
0.923841,0.938053
0.925497,0.946903
0.927152,0.946903
0.928808,0.946903
0.930464,0.946903
0.932119,0.946903
0.933775,0.938053
0.93543,0.938053
0.937086,0.946903
0.938742,0.946903
0.940397,0.946903
0.942053,0.946903
0.943709,0.946903
0.945364,0.938053
0.94702,0.938053
0.948675,0.946903
0.950331,0.946903
0.951987,0.946903
0.953642,0.946903
0.955298,0.946903
0.956954,0.946903
0.958609,0.946903
0.960265,0.946903
0.961921,0.946903
0.963576,0.946903
0.965232,0.964602
